date,age_grp,gender,card_cnt
1/1/2016,40_65,F,3
1/1/2016,40_65,M,1
1/1/2016,66_abv,F,1
1/2/2016,40_65,F,1
1/2/2016,40_65,M,2
1/2/2016,66_abv,F,1
1/3/2016,40_65,M,1
1/3/2016,66_abv,M,1
1/4/2016,40_65,M,1
1/4/2016,66_abv,F,2
1/4/2016,66_abv,M,1
1/5/2016,40_65,F,2
1/5/2016,40_65,M,1
1/6/2016,20_39,F,1
1/6/2016,40_65,F,1
1/6/2016,40_65,M,1
1/6/2016,66_abv,M,2
1/7/2016,20_39,M,1
1/7/2016,40_65,F,3
1/7/2016,40_65,M,2
1/8/2016,40_65,F,2
1/8/2016,66_abv,M,1
1/9/2016,40_65,M,1
1/10/2016,66_abv,F,1
1/11/2016,40_65,F,3
1/11/2016,66_abv,F,1
1/11/2016,66_abv,M,1
1/12/2016,40_65,F,2
1/12/2016,66_abv,F,3
1/13/2016,0_19,M,1
1/13/2016,20_39,M,1
1/13/2016,40_65,F,1
1/13/2016,66_abv,M,1
1/14/2016,40_65,F,1
1/14/2016,66_abv,F,1
1/15/2016,40_65,M,2
1/15/2016,66_abv,M,1
1/16/2016,40_65,F,2
1/16/2016,66_abv,F,2
1/16/2016,66_abv,M,1
1/17/2016,66_abv,F,1
1/18/2016,40_65,F,2
1/18/2016,66_abv,F,1
1/18/2016,66_abv,M,1
1/19/2016,66_abv,M,1
1/20/2016,40_65,F,2
1/20/2016,40_65,M,1
1/21/2016,40_65,F,1
1/21/2016,40_65,M,1
1/21/2016,66_abv,F,3
1/21/2016,66_abv,M,1
1/22/2016,40_65,F,2
1/22/2016,66_abv,F,1
1/23/2016,20_39,F,1
1/23/2016,40_65,F,1
1/23/2016,66_abv,F,1
1/24/2016,66_abv,F,2
1/24/2016,66_abv,M,1
1/25/2016,40_65,F,1
1/25/2016,40_65,M,2
1/25/2016,66_abv,F,1
1/25/2016,66_abv,M,1
1/26/2016,40_65,F,2
1/26/2016,40_65,M,1
1/26/2016,66_abv,F,2
1/27/2016,20_39,M,1
1/27/2016,40_65,F,2
1/27/2016,40_65,M,2
1/28/2016,40_65,M,1
